pvm; laatu; lampo; entero; coli; sinileva; muu
3.6.2020; Hyvä/bra/good; 16,7; 2; 5; 0; 0
23.6.2020; Hyvä/bra/good; 21,9; 40; 130; 0; 0
13.7.2020; Huono/dålig/poor; 15,4; 1900; 1400; 0; 0
15.7.2020; Huono/dålig/poor; 15,3; 500; 250; 0; 0
20.7.2020; Hyvä/bra/good; 19,7; 330; 47; 0; 0
3.8.2020; Hyvä/bra/good; 17,1; 120; 91; 0; 0
24.8.2020; Huono/dålig/poor; 17,7; 1900; 2000; 0; 0
27.8.2020; Hyvä/bra/good; 17,2; 61; 86; 0; 0
1.6.2021; Hyvä/bra/good; 13,3; 20; 44; 0; 0
15.6.2021; Hyvä/bra/good; 18,2; 340; 88; 0; 0
21.6.2021; Hyvä/bra/good; 21,8; 90; 35; 0; 0
24.6.2021; Huono/dålig/poor; 20,7; 720; 1600; 0; 0
30.6.2021; uusinta Hyvä/bra/good; 22,6; 210; 61; 0; 0
6.7.2021; Hyvä/bra/good; 24,3; 45; 31; 0; 0
13.7.2021; Hyvä/bra/good; 22; 21; 23; 0; 0
27.7.2021; Hyvä/bra/good; 20,8; 19; 6; 0; 0
30.7.2021; Hyvä/bra/good; 20,8; 100; 110; 0; 0
11.8.2021; Hyvä/bra/good; 18; 45; 44; 0; 0
18.8.2021; Huono/dålig/poor; 16,9; 880; 1700; 0; 0
20.8.2021; Huono/dålig/poor; 16,1; 800; 1100; 0; 0
23.8.2021; Hyvä/bra/good; 14,7; 120; 74; 0; 0
2.6.2022; Hyvä/bra/good; 13,1; 300; 410; 0; 0
16.6.2022; Hyvä/bra/good; 17,6; 240; 36; 0; 0
21.6.2022; Huono/dålig/poor; 17,3; 510; 180; 0; 0
27.6.2022; Hyvä/bra/good; 27; 190; 83; 0; 0
30.6.2022; Hyvä/bra/good; 23,8; 110; 23; 1; 1
4.7.2022; Hyvä/bra/good; 25,3; 34; 51; 1; 0
11.7.2022; Hyvä/bra/good; 22,4; 40; 25; 1; 0
26.7.2022; Hyvä/bra/good; 20,1; 80; 29; 0; 0
10.8.2022; Hyvä/bra/good; 20,1; 50; 34; 1; 0
24.8.2022; Hyvä/bra/good; 21,6; 12; 60; 0; 0
